Woonplaats,Gemeente,Provincie,Latitude,Longitude
Boxmeer,Boxmeer,Noord-Brabant,51.65000000,5.95000000
Boxtel,Boxtel,Noord-Brabant,51.58333300,5.31666700
Braamt,Montferland,Gelderland,51.91666700,6.26666700
Brakel,Zaltbommel,Gelderland,51.81666700,5.10000000
Brandwijk,Graafstroom,Zuid-Holland,51.88333300,4.81666700
Brantgum,Dongeradeel,Friesland,53.35000000,5.93333300
Breda,Breda,Noord-Brabant,51.56666700,4.80000000
Bredevoort,Aalten,Gelderland,51.95000000,6.61666700
Breedenbroek,Oude IJsselstreek,Gelderland,51.88333300,6.46666700
Breezand,Anna Paulowna,Noord-Holland,52.88795000,4.80625000
Breezanddijk,Wûnseradiel,Friesland,53.01666700,5.20000000
Breskens,Sluis,Zeeland,51.40000000,3.55000000
Breugel,Son en Breugel,Noord-Brabant,51.51666700,5.51666700
Breukelen,Breukelen,Utrecht,52.18333300,5.00000000
Breukeleveen,Wijdemeren,Noord-Holland,52.18333330,5.06666670
Brielle,Brielle,Zuid-Holland,51.90000000,4.16666700
Briltil,Zuidhorn,Groningen,53.25000000,6.38333300
Britsum,Leeuwarderadeel,Friesland,53.25000000,5.78333300
Britswert,Littenseradiel,Friesland,53.11666670,5.68333330
Broek,Skarsterlân,Friesland,52.94140000,5.78610000
Broek in Waterland,Waterland,Noord-Holland,52.43333300,5.00000000
Broek op Langedijk,Langedijk,Noord-Holland,52.66666700,4.81666700
Broekhuizen,Horst aan de Maas,Limburg,51.49500000,6.15690000
Broekhuizen,Meppel,Drenthe,52.69500000,6.27500000
Broekhuizenvorst,Horst aan de Maas,Limburg,51.50000000,6.16666700
Broekland,Raalte,Overijssel,52.26666700,6.01666700
Broeksterwâld,Dantumadiel,Friesland,53.26666700,6.00000000
Bronkhorst,Bronckhorst,Gelderland,52.08333300,6.18333300
Bronneger,Borger-Odoorn,Drenthe,52.95000000,6.81666700
Bronnegerveen,Borger-Odoorn,Drenthe,52.95000000,6.83333300
Brouwershaven,Schouwen-Duiveland,Zeeland,51.73333300,3.91666700
Bruchem,Zaltbommel,Gelderland,51.78333300,5.23333300
Brucht,Hardenberg,Overijssel,52.55000000,6.61666700
Bruchterveld,Hardenberg,Overijssel,52.53333300,6.66666700
Bruinehaar,Twenterand,Overijssel,52.48333300,6.70000000
Bruinisse,Schouwen-Duiveland,Zeeland,51.66666700,4.10000000
Brummen,Brummen,Gelderland,52.10000000,6.16666700
Brunssum,Brunssum,Limburg,50.95000000,5.96666700
Bruntinge,Midden-Drenthe,Drenthe,52.81666700,6.58333300
Buchten,Sittard-Geleen,Limburg,51.05000000,5.81666700
Budel,Cranendonck,Noord-Brabant,51.26666700,5.58333300
Budel-Dorplein,Cranendonck,Noord-Brabant,51.23333300,5.60000000
Budel-Schoot,Cranendonck,Noord-Brabant,51.24750000,5.56530000
Buggenum,Leudal,Limburg,51.23333300,5.98333300
Buinen,Borger-Odoorn,Drenthe,52.76666700,6.35000000
Buinerveen,Borger-Odoorn,Drenthe,52.93333300,6.88333300
Buitenkaag,Haarlemmermeer,Noord-Holland,52.21666700,4.56666700
Buitenpost,Achtkarspelen,Friesland,53.25000000,6.15000000
Bunde,Meerssen,Limburg,50.88333300,5.73333300
Bunne,Tynaarlo,Drenthe,53.11666700,6.53333300
Bunnik,Bunnik,Utrecht,52.06666700,5.20000000
Bunschoten-Spakenburg,Bunschoten,Utrecht,52.23333300,5.38333300
Burdaard,Ferwerderadiel,Friesland,53.30000000,5.88333330
Buren,Ameland,Friesland,53.44720000,5.79910000
Buren,Buren,Gelderland,51.91666670,5.33333330
Burgerbrug,Zijpe,Noord-Holland,52.75000000,4.70000000
Burgerveen,Haarlemmermeer,Noord-Holland,52.23333300,4.68333300
Burgh-Haamstede,Schouwen-Duiveland,Zeeland,51.68333300,3.73333300
Burgum,Tytsjerksteradiel,Friesland,53.20000000,6.00000000
Burgwerd,Wûnseradiel,Friesland,53.08333300,5.55000000
Burum,Kollumerland en Nieuwkruisland,Friesland,53.26666700,6.23333300
Bussum,Bussum,Noord-Holland,52.28333300,5.20000000
Buurmalsen,Geldermalsen,Gelderland,51.90000000,5.30000000
Cadier en Keer,Margraten,Limburg,50.83333300,5.76666700
Cadzand,Sluis,Zeeland,51.36666700,3.41666700
Callantsoog,Zijpe,Noord-Holland,52.83333300,4.70000000
Capelle aan den IJssel,Capelle aan den IJssel,Zuid-Holland,51.93000000,4.58000000
